Fecha,SKU_1,SKU_2,SKU_3,SKU_4,SKU_5,SKU_6,SKU_7,SKU_8,SKU_9,SKU_10,SKU_11,SKU_12,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_20,SKU_21,SKU_22,SKU_23,SKU_24,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_40,SKU_41,SKU_42,SKU_43,SKU_44,SKU_45,SKU_46
2022-02-01,7288,3320,1868,4178,3663,5587,292,674,1292,2378,1548,14917,1825,1471,1025,1451,3620,1288,2838,4370,1980,2492,3201,2855,4375,10164,21501,869,1752,3032,32581,2262,749,2557,4348,13073,4550,4309,1615,2954,4655,1619,7910,1982,1514,415
2022-03-01,7251,3035,2117,4428,3368,5302,358,572,968,2393,1580,17731,1825,1374,813,1084,3317,1212,3276,4537,1604,2446,2919,3255,4947,11774,23636,960,1811,2956,30036,2200,944,2905,3664,12966,4736,5592,1622,3619,4404,1493,7158,2116,1576,528
2022-04-01,7628,3214,2044,4932,4097,5401,314,577,1134,2807,1333,20086,1636,1573,904,1185,3939,1082,3279,4451,1932,2492,3443,3064,4790,11324,23542,1299,1897,2787,25748,2189,860,2616,4617,11198,4286,5025,1532,3638,4415,1740,7346,2419,1662,482
2022-05-01,6757,2985,1653,4423,4165,4830,357,569,1161,2617,1567,18445,1890,1786,1066,1402,4049,1507,3557,4831,1891,1954,3079,2889,4940,11341,27576,999,1682,3107,31589,2324,847,2422,3940,11134,4547,5541,1413,3477,5238,1912,9284,2083,1651,569
2022-06-01,8106,3127,2052,4394,3579,5080,362,685,1033,2413,1493,16676,2018,1470,1109,1139,3934,1267,3247,4725,2044,2394,3152,2415,4795,10925,25866,867,1657,3115,26049,2041,892,2241,3917,12449,5252,5447,1498,3772,4777,1517,7236,2067,1509,549
2022-07-01,6945,3400,1971,4343,4151,5256,297,502,1134,2346,1288,13574,1723,1296,830,1081,3162,1198,3272,4683,1901,1876,2738,2805,4840,11297,22470,966,1690,3065,26181,2090,780,2552,3867,11736,4352,4528,1518,3266,5312,1764,6779,1994,1486,552
2022-08-01,5814,2865,1873,4791,3993,4013,297,608,942,2115,1235,14882,1665,1387,795,918,3528,1355,2740,3985,1625,2122,2970,2117,4503,9928,22563,1061,1399,2264,23383,1798,769,3101,4834,11651,3495,4576,1166,3366,4144,1738,7292,1958,1335,518
2022-09-01,6732,2663,1913,3684,3409,3980,355,556,997,2235,1363,14512,1583,1503,938,1373,2974,1088,2492,4591,1673,1698,2929,2427,3645,10632,23049,942,1434,2594,22992,1579,859,2000,3827,9773,3702,4257,1156,3291,4356,1773,6904,1818,1507,490
2022-10-01,7527,3046,1627,3975,3062,5039,294,610,783,2110,1409,13637,1581,1361,905,1085,3521,1089,2399,4024,1524,1940,2835,2411,4497,9798,25663,745,1647,2305,19685,1936,637,2847,3689,8037,2901,4905,1344,2522,4563,1464,5972,1840,1489,443
2022-11-01,6562,2926,1673,3936,3589,5477,289,602,869,2029,1087,15092,1535,1446,745,1105,2896,985,2526,4048,1855,1801,3001,2998,4567,10952,21681,875,1409,2900,24895,1807,821,2387,4041,13690,4034,4247,1276,2635,4454,1272,6055,1831,1310,507
2022-12-01,6954,3097,1950,3900,4095,4311,375,542,1007,2314,1421,14117,1620,1463,883,1299,3075,1261,3241,3959,1592,2046,3444,2604,4640,11061,24054,861,1763,2820,24536,1745,776,2041,3727,10395,4244,5246,1452,2947,4712,1676,7486,2140,1577,514
2023-01-01,8480,3039,1816,4260,3191,5024,370,617,1109,2308,1560,16498,1803,1575,990,1216,3781,954,3219,4289,1910,2047,2976,2465,4882,9949,21866,1155,1492,2609,28684,2045,819,3131,3943,12238,4347,4512,1344,2461,4602,1617,6017,2028,1503,544
2023-02-01,6967,3530,1851,5026,4221,4212,324,660,1057,2490,1356,17185,1819,1840,809,1230,3942,1149,2725,4863,2095,2091,3150,2329,4944,10648,25494,1172,1647,2616,25861,2275,826,2317,4198,11123,4410,5370,1243,3114,5182,1729,7642,2165,1581,527
2023-03-01,7225,3327,2108,4374,4311,4914,359,557,1126,2532,1534,16985,2045,1757,1002,1314,3749,1446,3458,4552,1823,2003,3346,2698,5086,11954,25860,979,1796,2961,29384,2356,794,2934,4118,12217,5234,4929,1346,3480,4386,1665,7871,2270,1626,528
2023-04-01,7529,3216,2340,5351,4194,4518,307,687,1089,2481,1585,19887,1811,1650,1011,1439,3974,1553,3389,4975,1886,2572,3635,2816,5629,12217,27329,986,1804,3235,24979,2364,906,3228,5074,13936,5399,5103,1332,3300,5029,2166,7918,2262,1793,531
2023-05-01,8295,3198,2089,4833,4309,5523,445,629,1194,2258,1425,18510,1968,1639,1020,1495,3642,1361,3564,5015,1958,2247,3743,2931,5258,12929,29973,942,1633,2636,29378,1987,937,2901,4535,14128,4994,5144,1528,3160,5270,1989,7739,2213,1700,570
2023-06-01,8369,2844,1614,5003,4287,4985,358,505,1118,2208,1554,17593,2034,1493,1071,1169,3524,1359,3419,5313,2096,2275,3919,2724,4827,12007,21941,1058,1665,2802,25487,1993,1020,2905,4205,12324,3945,5377,1238,3063,4817,1838,6849,1912,1548,482
2023-07-01,7908,2418,2105,4394,3518,4801,302,638,1009,1947,1315,15990,1843,1409,977,1389,3335,1336,3138,4482,2224,2277,3225,2553,3966,9368,26455,850,1486,2873,24534,2186,893,2746,4222,11218,4313,4486,1559,3232,4130,1667,7605,2110,1419,615
2023-08-01,6975,2674,1879,4061,3346,3993,317,545,1055,2319,1235,17549,1431,1267,975,1368,3432,1183,3005,4183,1631,2108,2929,2538,5208,10794,26070,962,1978,2416,24049,2159,847,2588,3373,12801,4544,4373,1559,3371,4204,1679,7511,1865,1539,492
2023-09-01,7637,2628,2010,3951,3548,4459,297,524,1117,2158,1167,16643,1683,1152,871,1413,3674,1203,2669,3928,1928,1988,2588,2456,3620,10535,21245,756,1459,2338,24488,1904,816,2403,3903,9665,4216,4169,1273,3391,4496,1666,6256,1481,1409,452
2023-10-01,7153,2807,1738,4817,2866,3884,374,498,951,1996,1110,13206,1576,1300,966,1356,3086,1078,3078,3761,2085,1656,3266,2754,4494,9576,20449,771,1323,2699,22093,2199,775,2164,4083,12760,3704,3418,1286,3174,4399,1553,6722,1879,1535,501
2023-11-01,7918,2838,1660,4275,3408,4212,293,672,958,2097,1331,15826,1550,1287,884,1301,3105,1293,3166,4096,1684,2314,2749,2518,4499,9167,22626,885,1576,2162,22974,2110,766,2525,4078,12938,4239,4764,1327,2935,4421,1899,6772,1816,1341,486
2023-12-01,7470,2699,1760,3967,3522,3890,345,604,1027,2219,1405,13725,1796,1417,932,1074,3379,1270,2803,4581,1443,2074,2737,3263,4821,10544,25863,980,1794,2611,23379,2360,811,2868,4085,12507,4377,4045,1318,3358,4803,1872,7666,1764,1525,500
2024-01-01,8057,3243,2003,5045,3444,4623,299,615,1271,2167,1399,15350,1811,1602,918,1372,3448,1413,3188,4460,2216,2490,2818,2836,4832,9925,26017,974,1897,2752,24213,2176,876,2206,4113,11497,4044,4691,1351,3489,4635,1640,7963,2105,1441,587
